人为失误,0.186096937,消极
漏水,0.246153846,消极
导致,0.447761194,消极
混在,0.37254902,消极
超过,0.346456693,消极
影响,0.432773109,消极
再次发生,0.478031714,消极
恐怕,0.422222222,消极
说不清楚,0.252480218,消极
错误,0.427027027,消极
对外,0.375,消极
导致,0.447761194,消极
含有,0.333333333,消极
紧急,0.384615385,消极
相差,0.265060241,消极
居然,0.22079314,消极
污染,0.25,消极
排放,0.25,消极
怀疑,0.300546448,消极
意外,0.233333333,积极
隐瞒,0.25,消极
麻痹大意,0.798681271,积极
缺乏,0.445544554,消极
检讨,0.1,消极
试问,0.333333333,消极
管理混乱,0.226363911,消极
难辞其咎,0.279767425,消极
至关重要,0.333333333,消极
劣迹,0.130472551,消极
斑斑,0.105263158,消极
盘根错节,0.220834616,消极
水排,0.183342984,消极
对外,0.375,消极
洗白,0.179636996,消极
监督,0.076923077,消极
不好,0.245090338,消极
确保,0.066666667,消极
排放,0.25,消极
管理,0.464285714,消极
累计,0.3,消极
排放,0.25,消极
超过,0.346456693,消极
启动,0.310679612,消极
再次,0.424836601,消极
叫停,0.414634146,消极
排放,0.25,消极
水净化,0.76272353,积极
流入,0.75,积极
意外,0.933333333,积极
流入,0.75,积极
接触,0.701492537,积极
描述,0.652439024,积极
可靠,0.71875,积极
坚定,0.659574468,积极
判断,0.657894737,积极
保护,0.615384615,积极
数百万吨,0.729795391,积极
监管,0.857142857,积极
运行,0.665943601,积极
监管,0.857142857,积极
指出,0.64,积极
下功夫,0.875,积极
安全可靠,0.71875,积极
实施,0.736842105,积极
展现,0.906976744,积极
良知,0.875,积极
认可,0.755555556,积极
